lokacija	broj_soba	kvadratura	sprat	novogradnja	centralno_grejanje	lift	parking	uknjizen	stanje	cena	klasa
Slavija	4	129	I-II	DA	DA		NE	DA	2	1700	1.5-1.7K
Donji Dorćol	2	53	V+		DA	DA		DA		1698.113208	1.5-1.7K
Profesorska kolonija	1	43	I-II	DA	DA	DA		DA	1	1697.674419	1.5-1.7K
Novi Beograd-Opština	1	43	V+	NE	DA	DA		DA		1695.348837	1.5-1.7K
Novi Beograd-Sava Centar	1	36	P		DA	DA	NE	DA		1694.444444	1.5-1.7K
Crveni krst	3	98	I-II	NE	DA	DA	NE	DA	2	1693.877551	1.5-1.7K
Profesorska kolonija	2	49	I-II	NE	NE			DA	1	1693.877551	1.5-1.7K
Donji Dorćol	2	62	V+		NE	DA		DA		1693.548387	1.5-1.7K
Vukov Spomenik	2	62	I-II	NE	NE	NE		DA	2	1693.548387	1.5-1.7K
Centar-Stari grad	3	75	V+	NE	DA	DA	DA	DA	1	1693.333333	1.5-1.7K
Učiteljsko naselje	3	75	III-IV	NE	DA			DA		1693.333333	1.5-1.7K
Konjarnik-Denkova basta 	4	88	I-II	NE	DA			DA	1	1693.181818	1.5-1.7K
Slavija	3	73	V+	NE	DA	DA	DA	DA	1	1693.150685	1.5-1.7K
Lekino Brdo	2	65	III-IV	DA	NE				2	1692.307692	1.5-1.7K
Vračar-Kalenić pijaca	2	52	V+	NE	DA	DA		DA	1	1692.307692	1.5-1.7K
Učiteljsko naselje	4	87	III-IV	DA	DA	DA		DA		1692.183908	1.5-1.7K
Lekino Brdo	3	57	I-II	DA	DA		DA		1	1691.22807	1.5-1.7K
Kalemegdan	3	68	III-IV	NE	DA	DA	DA	DA	2	1691.176471	1.5-1.7K
Lekino Brdo	3	78	I-II	DA	DA	DA	DA	DA	2	1689.74359	1.5-1.7K
Centar-Stari grad	1	29	III-IV	NE	NE	NE		DA	1	1689.655172	1.5-1.7K
Kalemegdan	3	83	III-IV		DA	DA		DA		1686.746988	1.5-1.7K
Vračar-Hram	3	86	I-II	NE	DA	DA	DA	DA		1686.046512	1.5-1.7K
Kalemegdan	2	70	I-II	NE	DA	DA		DA		1685.714286	1.5-1.7K
Kalemegdan	3	70	I-II	NE	DA	DA		DA	1	1685.714286	1.5-1.7K
Djeram pijaca 	1	38	I-II	DA	DA	DA	DA		1	1684.210526	1.5-1.7K
Kalemegdan	4	95	III-IV		DA			DA		1684.210526	1.5-1.7K
Slavija	2	41	I-II	NE	NE			DA	1	1682.926829	1.5-1.7K
Golf naselje	3	107	III-IV	DA	DA	DA	DA		2	1682.242991	1.5-1.7K
Bežanijska kosa-Blokovi	1	22	P		DA			DA	1	1681.818182	1.5-1.7K
Vračar-Hram	1	43	I-II		DA			DA	1	1674.418605	1.5-1.7K
Vračar-Kalenić pijaca	3	70	I-II	NE	DA			DA	1	1671.428571	1.5-1.7K
